,CO_MUNICIPIO,NO_MUNICIPIO,AFD_INF_12,AFD_FUN_12,AFD_MED_12,ATU_INF,ATU_AF,ATU_EM,HAD_INF,HAD_AI,HAD_EM,MEDIA_INSE,IED_1,IED_2,IED_3,IED_4,IED_56,IRD_0A2,IRD_2A3,IRD_3A4,IRD_4A5,TDI_FUN,TDI_MED,REGIAO
136,3512209.0,Conchal,49.0,77.7,52.6,15.5,23.2,32.1,8.0,6.0,5.6,5.19,14.2,6.6,32.7,35.4,11.1,7.4,48.1,40.7,3.8,4.7,7.0,SP - Capital
137,3512308.0,Conchas,87.7,71.4,60.9,15.6,19.3,24.8,11.2,6.1,4.8,5.35,26.4,8.8,21.6,23.0,20.200000000000003,26.7,46.7,26.6,0.0,2.6,9.0,SP - Capital
138,3512407.0,Cordeirópolis,56.8,75.2,72.3,18.6,25.5,33.0,9.8,6.5,5.3,5.45,23.9,19.0,21.0,29.0,7.1,0.0,25.0,65.0,10.0,8.7,20.2,SP - Capital
139,3512506.0,Coroados,100.0,93.5,54.4,16.2,23.1,22.4,10.3,6.6,6.5,5.27,33.3,4.8,23.8,38.1,0.0,25.0,50.0,25.0,0.0,3.3,6.6,SP - Capital
140,3512605.0,Coronel Macedo,51.5,77.8,51.7,17.1,21.7,19.8,9.8,6.0,6.2,5.0,37.5,12.5,37.5,12.5,0.0,0.0,33.3,66.7,0.0,3.8,7.1,SP - Capital
141,3512704.0,Corumbataí,78.1,81.4,52.0,14.4,18.9,22.0,6.2,5.6,8.7,5.34,28.0,31.3,6.3,25.0,9.4,0.0,25.0,75.0,0.0,8.6,3.8,SP - Capital
142,3512803.0,Cosmópolis,62.6,74.7,58.199999999999996,19.2,23.8,32.2,6.3,5.4,6.5,5.41,24.9,20.3,18.6,28.1,8.1,5.4,40.5,54.1,0.0,9.6,14.9,SP - Capital
143,3512902.0,Cosmorama,82.9,79.4,50.0,16.7,19.7,28.9,6.7,6.0,9.0,5.06,28.6,8.6,17.1,44.3,1.4,0.0,25.0,50.0,25.0,3.6,9.9,SP - Capital
144,3513009.0,Cotia,69.7,81.10000000000001,65.3,16.7,25.6,31.8,6.3,5.2,5.3,5.29,14.9,15.7,29.0,32.1,8.3,4.1,36.8,52.8,6.3,5.9,11.2,SP - Capital
145,3513108.0,Cravinhos,81.3,75.1,60.0,14.8,26.6,24.6,8.9,5.3,5.7,5.48,8.7,13.4,28.5,38.1,11.3,0.0,16.7,70.8,12.5,13.9,20.8,SP - Capital
146,3513207.0,Cristais Paulista,67.5,85.8,50.5,17.5,24.1,28.2,8.9,5.0,5.2,5.29,23.3,11.6,24.6,29.0,11.5,0.0,50.0,50.0,0.0,8.4,16.4,SP - Capital
147,3513306.0,Cruzália,100.0,70.8,71.4,16.5,22.3,15.3,9.0,7.1,9.0,5.39,18.2,4.5,77.3,0.0,0.0,33.3,33.3,33.4,0.0,0.0,2.2,SP - Capital
148,3513405.0,Cruzeiro,71.9,71.19999999999999,59.9,15.3,21.5,26.8,6.1,5.5,6.3,5.15,21.9,16.6,23.2,29.1,9.2,5.1,50.8,33.9,10.2,4.2,6.7,SP - Capital
